SMILES,LIBRARY
N(CC\C=C/1\c2c(CCc3c\1cccc3)cccc2)(C)C,FDA
Oc1c(cccc1N\N=C/1\C(=NN(C\1=O)c1cc(C)c(cc1)C)C)-c1cc(ccc1)C(O)=O,FDA
O1[C@H](CNC1=O)COc1cc(cc(c1)C)C,FDA
Clc1cccc(Cl)c1S[C@@H](CCc1ccc(Cl)cc1)Cn1ccnc1,FDA
O=C1CC[C@@H]2[C@@H]3[C@H]([C@@H]4C=C[C@@](O)(C#C)[C@]4(CC3)CC)CCC2=C1,FDA
O(C[C@@H](O)CNC(C)C)c1ccccc1CC=C,FDA
Fc1c(N2C[C@H](N[C@H](C2)C)C)c(F)c2N(C=C(C(O)=O)C(=O)c2c1N)C1CC1,FDA
O(\N=C/1\c2c(C=Cc3c\1cccc3)cccc2)CCNC,FDA
OCC(N)(CO)CO,FDA
Clc1cc2S(=O)(=O)N=C(Nc2cc1)C,FDA
O=C(N)c1nc[nH]c1\N=N\N(C)C,FDA
Clc1cccc(Cl)c1\C=N\N=C(\N)/N,FDA
O1[C@@H](CO)[C@H](O)C[C@H]1N1C=C(C)C(=O)NC1=O,FDA
Clc1cc2c(N(CCC#N)C(=O)[C@H](O)N=C2c2ccccc2F)cc1,FDA
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,FDA
O(C)c1c(OC)cc(cc1OC)Cc1cnc(nc1N)N,FDA
FC(F)(F)c1ccc(cc1NC(=O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1([C@H](NC(=O)C=C1)CC3)C)C(F)(F)F,FDA
Clc1ccccc1[C@@]12OCCN1CC(=O)Nc1c2cc(Cl)cc1,FDA
S1C2C(C=C(C=C2)C(F)(F)F)\C(\c2c1cccc2)=C\CCN1CCN(CC1)CCO,FDA
S(C(=O)C)[C@H]1[C@H]2[C@@H]3CC[C@]4(OC(=O)CC4)[C@]3(CC[C@@H]2[C@@]2(C(=CC(=O)CC2)C1)C)C,FDA
O=C(NC(C)C)c1ccc(cc1)CNNC,FDA
OC(=O)[C@@H](N)Cc1c2c([nH]c1)cccc2,FDA
O=C(C(C)C)c1c2n(nc1C(C)C)C=CC=C2,FDA
S(=O)(=O)(Nc1n(ncc1)-c1ccccc1)c1ccc(N)cc1,FDA
O1[C@@H](C[C@@H](OC(=O)[C@@H](NC=O)CC(C)C)CCCCCCCCCCC)[C@H](CCCCCC)C1=O,FDA
O=C1CC[C@]2([C@H]3[C@H]([C@@H]4CC[C@H](C(=O)C)[C@]4(CC3)C)C=CC2=C1)C,FDA
O(Cc1ccccc1)c1ccc(cc1)C[C@@H]1N=C(O)[C@@H](N=C(O)[C@H](N=C(O)[C@@H](N=C(O)[C@H]2N(C[C@H](O\C(\O)=N\CCN)C2)C(=O)[C@@H](N=C1O)Cc1ccccc1)c1ccccc1)Cc1c2c([nH]c1)cccc2)CCCCN,FDA
O=C(Nc1c(cccc1C)C)[C@H]1N(CCCC1)CCCC,FDA
O=C(N(CC)CC)N1CCN(CC1)C,FDA
O(Cc1ccccc1)c1ccc(cc1)C[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H]2N(C[C@H](OC(=O)NCCN)C2)C(=O)[C@@H](NC1=O)Cc1ccccc1)c1ccccc1)Cc1c2c([nH]c1)cccc2)CCCCN,FDA
OC(=O)C1CCC(CC1)CN,FDA
O1CC2=C(C=C3N(Cc4c3nc3c(c4)c(CN(C)C)c(O)cc3)C2=O)[C@@](O)(CC)C1=O,FDA
O1CCC[C@H]1C(=O)NCCCN(C)c1nc(N)c2cc(OC)c(OC)cc2n1,FDA
S1c2c(N(c3c1cccc3)C[C@@H](N(CC)CC)C)cccc2,FDA
FC(F)(F)c1cc(Nc2ccccc2C(OCCOCCO)=O)ccc1,FDA
O1[C@](NC(=O)[C@@H]2C=C3[C@H](N(C2)C)Cc2c4c3cccc4[nH]c2)(C)C(=O)N2[C@@H](Cc3ccccc3)C(=O)N3[C@@H](CCC3)[C@]12O,FDA
Brc1cc(Br)cc(CN(C)C2CCCCC2)c1N,FDA
O(CC(CCC)(COC(=O)N)C)C(=O)N,FDA
ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,FDA
S1[C@H]2[C@@H]3N([C@H](c4c2c(OC(=O)C)c(c2OCOc24)C)COC(=O)[C@@]2(NCCc4cc(O)c(OC)cc24)C1)[C@@H](O)[C@H]1N([C@@H]3c2c(cc(C)c(OC)c2O)C1)C,FDA
OC(=O)[C@H](C)c1cc(ccc1)C(=O)c1ccccc1,FDA
O=C(NC1CC2N(C(C1)CCC2)C)c1nn(c2c1cccc2)C,FDA
Oc1cc(NC(=O)C2=CNc3c(cccc3)C2=O)c(cc1C(C)(C)C)C(C)(C)C,FDA
S1[C@H]2N(C(C(O)=O)=C(C1)COC(=O)C)C(=O)[C@H]2NC(=O)CSc1ccncc1,FDA
S=P(N1CC1)(N1CC1)N1CC1,FDA
S(=O)(=O)(Nc1nc(nc(OCCO)c1Oc1ccccc1OC)-c1ncccn1)c1ccc(cc1)C(C)(C)C,FDA
Clc1cc(NCc2occc2)c(cc1S(=O)(=O)N)C(O)=O,FDA
O[C@]1(CC[C@H]2[C@H]3[C@@H]([C@@H]4C(CC3)=CCCC4)C(C[C@]12CC)=C)C#C,FDA
OC[C@@H](NC(=O)[C@@H]1C=C2[C@H](N(C1)C)Cc1c3c2cccc3[nH]c1)C,FDA
S(CC[C@H](NC(=O)[C@@H](NC(=O)CCNC(OCC(C)C)=O)Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N)C,FDA
FC1(F)CCC(CC1)C(=O)N[C@@H](CCN1[C@H]2CC(n3c(nnc3C)C(C)C)C[C@@H]1CC2)c1ccccc1,FDA
S(S\C(=C(\N(CC1=CN=C(NC1=N)C)C=O)/C)\CCO)C[C@@H]1OCCC1,FDA
FC1=CN([C@@H]2O[C@H](CO)[C@@H](O)C2)C(=O)NC1=O,FDA
Clc1ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(=O)NC)cc2F)cc1C(F)(F)F,FDA
F[C@@]12[C@H]([C@@H]3CC[C@](OC(=O)CCC)(C(=O)COC(=O)C)[C@]3(C[C@@H]1O)C)C[C@H](F)C1=CC(=O)C=C[C@@]12C,FDA
O[C@]1(CC[C@H]2[C@H]3[C@@H]([C@@H]4C(CC3)=CCCC4)CC[C@]12C)CC=C,FDA
Oc1cc(N(CC=2NCCN=2)c2ccc(cc2)C)ccc1,FDA
Oc1cc(ccc1O)CCN,FDA
O=C(N(CC)CC)C1(C[C@H]1CN)c1ccccc1,FDA
O(CCCCC)c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@H]2N(C[C@H](C)[C@@H]2O)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2N(C[C@H](O)C2)C(=O)[C@@H](NC1=O)[C@H](O)C)[C@H](O)[C@@H](O)c1ccc(O)cc1)[C@H](O)C,FDA
Clc1cc\2c(Sc3c(cccc3)/C/2=C/CCN2CCN(CC2)CCO)cc1,FDA
Ic1cc(I)c2c(nccc2)c1O,FDA
O=C(N(CC)c1ccccc1C)\C=C\C,FDA
O=C(NO)C,FDA
O=C([C@@H](N(CC)CC)C)c1ccccc1,FDA
O1[C@H](CCC[C@H](O[C@@H]2O[C@H](C)[C@@H](N(C)C)CC2)[C@@H](C)C(=O)C=2[C@H]([C@H]3[C@H]([C@H]4[C@@H](C[C@@H](O[C@@H]5C[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C4)C=C3)C=2)CC1=O)CC,FDA
Clc1c(N2CCN(CC2)CCCCOc2cc3N(COC(=O)CCCCCCCCCCC)C(=O)CCc3cc2)cccc1Cl,FDA
S(O)(=O)(=O)CCS,FDA
Oc1ccc(cc1)CCN[C@H]([C@H](O)c1ccc(O)cc1)C,FDA
O=C(NN)c1ccncc1,FDA
s1c(ccc1[C@H](C(O)=O)C)C(=O)c1ccccc1,FDA
O1CC(=CC1=O)[C@H]1CC[C@]2(O)[C@H]3[C@H](CC[C@]12C)[C@@]1([C@@H](C[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]4O[C@H](C)[C@@H](O[C@@H]5O[C@H](C)[C@@H](O)[C@@H](OC(=O)C)C5)[C@@H](O)C4)[C@@H](O)C2)CC1)CC3)C,FDA
S(=O)(=O)(N)c1cc2S(=O)(=O)N[C@H](Nc2cc1C(F)(F)F)Cc1ccccc1,FDA
OC(=O)CN1CCN(CCN(CCN(CC1)CC(O)=O)CC(O)=O)CC(O)=O,FDA
Clc1ccc(OC(C(OCCOC(=O)c2cccnc2)=O)(C)C)cc1,FDA
O(C)c1c(OC)cc(cc1OC)CC1[N+](CCc2c1c(OC)c(OC)c(OC)c2)(CCCOC(=O)CCC(OCCC[N+]1(CCc2c(c(OC)c(OC)c(OC)c2)C1Cc1cc(OC)c(OC)c(OC)c1)C)=O)C,FDA
O=C1NC(=O)N(c2ncn(c12)C)C,FDA
O1CCOc2c1cc(cc2)[C@@H](O)[C@H](\N=C(/O)\CCCCCCC)CN1CCCC1,FDA
Clc1cccc(Cl)c1NC=1NCCN=1,FDA
FC(F)(F)c1cc(ccc1)\C(=N/OCCCCC(O)=O)\c1cccnc1,FDA
O=C1N(C)C(=O)N(c2nc[nH]c12)C,FDA
Fc1ccc(cc1)C(=O)CCCN1CCC(N2c3c(NC2=O)cccc3)=CC1,FDA
Clc1c(N2CCN(CC2)CCC2CCC(NC(=O)N(C)C)CC2)cccc1Cl,FDA
